# Russian-French translations created from the Universal dictionary at 2011-08-27T09:42:49-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 карточка 	 carte 	 object 
 качать 	 pomper 	 verb 
 качество 	 caractère 	 abstract 
 качество 	 qualité 	 abstract 
 кашель 	 toux 	 medicine 
 кашлять 	 tousser 	 verb 
 квадрат 	 carré 	 mathematics 
 квадратный 	 carré 	 adjective 
 квартира 	 appartement 	 society 
 келья 	 cellule 	 society 
 кино ; кинотеатр 	 cinéma 	 city 
 кирпич 	 brique 	 house 
 кислота 	 acide 	 material 
 китай 	 Chine 	 country 
 китайский язык 	 chinois 	 language 
 клавиша 	 touche 	 object 
 класть 	 pondre 	 verb 
 клеить 	 coller 	 verb 
 клей 	 colle 	 material 
 клейкий 	 collant 	 adjective 
 клуб 	 club 	 society 
 клюв 	 bec 	 anatomy 
 ключ 	 clé 	 house 
 книга 	 livre 	 object 
 книзу ; вниз 	 bas 	 adverb 
 кнопка 	 bouton 	 object 
 ковёр 	 tapis 	 house 
 кого 	 que 	 pronoun 
 кожа 	 cuir 	 material 
 кожа 	 peau 	 anatomy 
 козёл ; коза 	 chèvre 	 animal 
 коктейль 	 milk-shake 	 food 
 колено 	 genou 	 anatomy 
 колесо 	 roue 	 object 
 количество 	 masse 	 physics 
 количество 	 quantité 	 abstract 
 количество ; число 	 nombre 	 linguistics 
 колодец 	 puits 	 object 
 колокол 	 cloche 	 object 
 кольцо 	 anneau 	 clothes 
 команда 	 équipe 	 society 
 комитет ; комиссия 	 conseil 	 society 
 коммерция ; бизнес 	 affaire 	 business 
 коммутатор 	 central 	 society 
 комната 	 pièce 	 house 
 комплект 	 collection 	 sports 
 комплектный 	 complet 	 adjective 
 компьютер 	 ordinateur 	 device 
 конверт 	 enveloppe 	 object 
 конец 	 fin 	 abstract 
 конечный 	 définitif 	 adjective 
 конкуренция ; соревнование 	 concurrence 	 business 
 консерва 	 boîte 	 object 
 контракт 	 contrat 	 business 
 контролировать 	 contrôler 	 verb 
 конфигурация, форма 	 forme 	 art 
 концерт 	 concert 	 art 
 кончать 	 terminer 	 verb 
 копировать 	 copier 	 verb 
 копить 	 épargner 	 verb 
 копия 	 copie 	 object 
 коптить 	 fumer 	 verb 
