# French-English translations created from the Universal dictionary at 2011-05-28T05:46:15-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 confrontation 	 comparison ; comparing 	 abstract 
 congé 	 leave ; leave of absence 	 society 
 connaissance 	 cognition ; knowledge ; noesis 	 education 
 connecteur 	 connection ; connexion ; connector ; connecter ; connective 	 abstract 
 conscient 	 conscious ; witting 	 adjective 
 conseil 	 advice 	 communication 
 conseil 	 committee ; commission 	 society 
 conseil 	 council 	 society 
 considérer 	 see ; consider ; reckon ; view ; regard 	 verb 
 construction 	 structure ; construction 	 house 
 conséquence 	 consequence ; effect ; outcome ; result ; event ; issue ; upshot 	 medicine 
 contenir 	 restrict ; restrain ; trammel ; limit ; bound ; confine ; throttle 	 verb 
 continuer 	 continue ; go on ; proceed ; go along ; keep 	 verb 
 contraire 	 reverse ; contrary ; opposite 	 abstract 
 contrat 	 contract 	 business 
 contre 	 against 	 preposition 
 contre 	 at 	 preposition 
 contribution 	 tax ; taxation ; revenue enhancement 	 business 
 contrôler 	 control ; command 	 verb 
 copain 	 friend 	 family 
 copeau 	 bit ; chip ; flake ; fleck ; scrap 	 object 
 copie 	 copy 	 object 
 copier 	 copy ; re-create 	 verb 
 copine 	 girlfriend ; girl ; lady friend 	 family 
 corde 	 rope 	 transport 
 correct 	 correct ; right 	 adjective 
 costume 	 clothing ; article of clothing ; vesture ; wear ; wearable ; habiliment 	 clothes 
 coton 	 cotton 	 material 
 coton 	 cotton ; cotton fiber ; cotton wool 	 material 
 cou 	 neck ; cervix 	 anatomy 
 coudre 	 sew ; run up ; sew together ; stitch 	 verb 
 couleur 	 coloring material ; colouring material ; color ; colour 	 art 
 coup 	 blow 	 abstract 
 coup 	 hit ; hitting ; striking 	 abstract 
 coup de pied 	 kick 	 verb 
 coup de pied 	 kick ; boot ; kicking 	 abstract 
 coupe 	 cup 	 food 
 coupe 	 cup ; loving cup 	 object 
 couper 	 cut 	 verb 
 couple 	 couple ; pair ; twosome ; twain ; brace ; span ; yoke ; couplet ; distich ; duo ; duet ; dyad ; duad 	 number 
 coupure 	 cut ; cutting 	 abstract 
 courant 	 common 	 adjective 
 courant 	 current ; electric current 	 nature 
 courant 	 current ; stream 	 nature 
 courant 	 stream ; flow ; current 	 nature 
 courbure 	 curvature ; curve 	 mathematics 
 courir 	 run 	 verb 
 cours 	 course ; course of study ; course of instruction ; class 	 education 
 cours 	 rate ; charge per unit 	 business 
 court 	 short 	 adjective 
 couteau 	 knife 	 food 
 couvercle 	 screen ; cover ; covert ; concealment 	 object 
 craindre 	 fear 	 verb 
 cravate 	 necktie ; tie 	 clothes 
 crayon 	 pencil 	 object 
 crevé 	 dead 	 adjective 
 cri 	 cry ; outcry ; call ; yell ; shout ; vociferation 	 communication 
 critère 	 standard ; criterion ; measure ; touchstone 	 communication 
 croire 	 believe 	 verb 
 croître 	 grow 	 verb 
 cuiller 	 spoon 	 food 
 cuir 	 leather 	 material 
 cuisine 	 kitchen 	 house 
 cuisiner 	 cook 	 verb 
 cuisiner 	 cook ; fix ; ready ; make ; prepare 	 verb 
 cuisinier 	 cook 	 profession 
