# Esperanto-German translations created from the Universal dictionary at 2011-08-27T09:41:46-06:00
# (c) Copyright 2011 by All free dictionaries project
# ALL FREE DICTIONARIES PROJECT DISCLAIMS ALL
# WARRANTIES WITH REGARD TO THESE TRANSLATIONS, INCLUDING ALL
# IMPLIED WARRANTIES OF MERCHANTABILITY AND FITNESS. IN NO
# EVENT SHALL ALL FREE DICTIONARIES PROJECT OR ANY OF ITS CONTRIBUTORS
# BE LIABLE FOR ANY SPECIAL, INDIRECT OR CONSEQUENTIAL DAMAGES
# OR ANY DAMAGES WHATSOEVER RESULTING FROM LOSS OF USE, DATA OR
# PROFITS, WHETHER IN AN ACTION OF CONTRACT, NEGLIGENCE
# OR OTHER ACTION, ARISING OUT OF OR IN CONNECTION
# WITH THE USE OR PERFORMANCE OF THESE TRANSLATIONS.
#
# In other words there may be incorrect translations.
# If you need to be sure never use these translations!
#
# French, German and Czech entries are added manually. The entries for
# remaining languages are added automatically. Entries for these languages
# are only experimental.
#
# You may not place this file on WWW, ftp and equivalent servers because
# this file gets outdated very quickly. You may not distribute this file
# with your dictionary applications without permission. You can contact
# authors of the Universal dictionary at: http://dicts.info/contact.php
#
# This file is for personal use only. You may not distribute this file.
#
# New version of this file can be created at: http://www.dicts.info/uddl.php
#

 erara 	 falsch ; unrichtig ; inkorrekt 	 adjective 
 eraro 	 Fehler ; Irrtum ; Schnitzer 	 communication 
 esenco 	 Essenz ; Kern ; Kernel ; Quintessenz ; Wesentliche 	 abstract 
 esperi 	 hoffen 	 verb 
 esplorado 	 Erhebung 	 abstract 
 esploro 	 Forschung 	 abstract 
 esti 	 sein 	 verb 
 estinta 	 vorig ; früher 	 adjective 
 estonteco 	 Zukunft 	 time 
 estro 	 Führer 	 society 
 eta 	 klein 	 adjective 
 eta 	 winzig 	 adjective 
 etagxo 	 Geschoss ; Etage ; Stockwerk 	 house 
 evento 	 Ereignis ; Begebenheit ; Vorfall ; Geschehnis 	 abstract 
 eventuala 	 möglich 	 adjective 
 evidente 	 offensichtlich 	 adverb 
 eviti 	 meiden ; vermeiden 	 verb 
 evolucii 	 entwickeln 	 verb 
 evoluo 	 Entwicklung 	 nature 
 eĝo 	 Kante ; Rand 	 mathematics 
 fabriki 	 produzieren ; herstellen 	 verb 
 fabriko 	 Fabrik ; Fertigungsanlage 	 city 
 fabriko 	 Fabrik ; Werk 	 city 
 facila 	 leicht 	 adjective 
 fakto 	 Tatsache 	 abstract 
 fakturo 	 Faktur ; Nota ; Rechnung ; Rechnungsstellung 	 business 
 fali 	 fallen ; stürzen 	 verb 
 falo 	 Fall ; Sturz 	 abstract 
 falsa 	 unecht ; falsch 	 adjective 
 falto 	 Falte ; Biegung ; Biegen ; Krümmung 	 object 
 familio 	 Familie 	 family 
 familio 	 Familie ; Haushalt ; Privathaushalt ; familie 	 family 
 farbo 	 Farbe 	 art 
 fari 	 erschaffen ; erzeugen ; kreieren ; machen 	 verb 
 fari 	 machen ; tun 	 verb 
 farmbieno 	 Bauernhof 	 nature 
 faro 	 Akt ; Tat 	 mathematics 
 fazo 	 Phase ; Stufe 	 time 
 februaro 	 Februar 	 time 
 feliĉa 	 glücklich 	 adjective 
 fendeto 	 Kluft ; Riss ; Spalte ; Sprung 	 abstract 
 fendi 	 teilen ; verteilen 	 verb 
 fenestro 	 Fenster 	 house 
 fermi 	 schließen ; zumachen 	 verb 
 fermita 	 geschlossen ; ungeöffnet 	 adjective 
 fero 	 Eisen 	 material 
 festo 	 Party 	 society 
 fetori 	 stinken 	 verb 
 fido 	 Glaube ; Religion 	 society 
 fiksita 	 gegeben ; angegeben 	 adjective 
 filino 	 Tochter 	 family 
 filmo 	 Film 	 art 
 filo 	 Sohn 	 family 
 fina 	 abschließend ; final ; terminal ; endgültig 	 adjective 
 financa 	 finanziell 	 adjective 
 fingro 	 Finger 	 anatomy 
 fini 	 beenden ; fertig stellen ; fertigstellen ; vollenden ; endigen ; erledigen 	 verb 
 fini 	 enden 	 verb 
 fino 	 Eind ; Ende ; Schluss 	 abstract 
 firma 	 fest ; hart 	 adjective 
 firmo 	 Firma ; Betrieb 	 business 
 fizika 	 körperlich ; physisch 	 adjective 
 fizika 	 physikalisch 	 adjective 
 fiŝo 	 Fisch 	 animal 
 flago 	 Flagge 	 object 
 flamo 	 Feuer ; Flamme 	 nature 
 flava 	 gelb 	 color 
 flegado 	 Sorge ; Pflege ; Behandlung ; Sorgfalt 	 abstract 
 flegistino 	 Krankenschwester 	 profession 
 floro 	 Blume 	 nature 
 flugi 	 fliegen 	 verb 
 flugilo 	 Flügel 	 anatomy 
 flugo 	 Fliegen ; Flug 	 transport 
 fluo 	 Strom 	 nature 
 fluo 	 Strom 	 nature 
 fluo 	 Strömung 	 nature 
 fojfoje 	 bisweilen ; manchmal 	 adverb 
 folio 	 Blatt ; Laub ; Laubwerk ; Blätter 	 nature 
 fondi 	 begründen ; gründen ; stiften ; einrichten ; aufbauen 	 verb 
 fonto 	 Brunnen ; Quelle 	 nature 
 fora 	 entfernt ; fern ; weit 	 adjective 
 forgesi 	 vergessen 	 verb 
 foriri 	 abfahren ; verlassen ; weggehen ; abgehen 	 verb 
 forko 	 Gabel 	 food 
 formiko 	 Ameise 	 animal 
 formo 	 Form 	 art 
 formularo 	 Formblatt ; Formular 	 society 
 forpermeso 	 Urlaub 	 society 
 forta 	 stark 	 adjective 
 forto 	 Kraft ; Gewalt ; Stärke 	 abstract 
 forto 	 Macht 	 abstract 
 fotoaparato 	 Fotoapparat 	 object 
 fotografisto 	 Fotograf ; Photograph 	 profession 
 fragila 	 brüchig ; gebrechlich ; zerbrechlich 	 adjective 
 framo 	 Rahmen 	 object 
 frapo 	 Schlag 	 abstract 
 fratino 	 Schwester 	 family 
 frato 	 Bruder 	 family 
 frauxlino 	 Fräulein ; Mädchen 	 family 
 frazo 	 Satz 	 linguistics 
 fresxa 	 frisch 	 adjective 
 fresxdata 	 rezent 	 adjective 
 fromaĝo 	 Käse 	 food 
 frue 	 früh 	 adjective 
 frue 	 früh 	 adverb 
 frukto 	 Frucht ; Obst 	 food 
 frunto 	 Stirn 	 anatomy 
 fumi 	 rauchen ; qualmen 	 verb 
 fumo 	 Dunst ; Qualm ; Rauch 	 nature 
 funkciado 	 Betrieb 	 mathematics 
 funkcio 	 Funktion 	 mathematics 
 funkcio 	 Funktion ; Zweck 	 linguistics 
 gajni 	 erreichen ; eintreffen 	 verb 
 gajni 	 gewinnen 	 verb 
 garaĝo 	 Garage 	 transport 
 gardo 	 Wache 	 profession 
 gasto 	 Gast 	 travelling 
 geedzigxo 	 Eheschliessung ; Heirat ; Trauung ; Vermählung 	 family 
 generalo 	 General 	 profession 
 geno 	 Gen 	 anatomy 
 genuo 	 Knie 	 anatomy 
 gildo 	 Club ; Klub ; Verein ; Gilde ; Innung ; Zunft 	 society 
 gitaro 	 Gitarre ; Guitarre 	 object 
 glacio 	 Eis 	 material 
 glacio 	 Eis 	 nature 
 glaso 	 Glas 	 food 
 glata 	 glatt 	 adjective 
 glito 	 Schleudern 	 abstract 
